None
None
None
None
Duration: 288.736000061
         257822 function calls (255869 primitive calls) in 289.182 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:1(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:1(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:1(DecimalTuple)
        1    0.000    0.000    0.000    0.000 <string>:1(Match)
        1    0.000    0.000    0.000    0.000 <string>:1(Mismatch)
        1    0.000    0.000    0.000    0.000 <string>:1(ModuleInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(ParseResult)
        1    0.000    0.000    0.000    0.000 <string>:1(SplitResult)
        1    0.000    0.000    0.000    0.000 <string>:1(Traceback)
        3    0.000    0.000    0.000    0.000 <string>:1(_held_figure)
        6    0.000    0.000    0.001    0.000 <string>:1(non_reentrant)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
      835    0.000    0.000    0.001    0.000 <string>:8(__new__)
        1    0.000    0.000    0.000    0.000 Dialog.py:12(Dialog)
        1    0.000    0.000    0.000    0.000 Dialog.py:3(<module>)
        1    0.000    0.000    0.000    0.000 FileDialog.py:21(FileDialog)
        1    0.000    0.000    0.000    0.000 FileDialog.py:220(LoadFileDialog)
        1    0.000    0.000    0.000    0.000 FileDialog.py:234(SaveFileDialog)
        1    0.000    0.000    0.001    0.001 FileDialog.py:9(<module>)
        1    0.002    0.002    0.003    0.003 FixTk.py:1(<module>)
        1    0.000    0.000    0.001    0.001 FixTk.py:21(convert_path)
        1    0.000    0.000    0.000    0.000 Image.py:1915(_ImageCrop)
        1    0.000    0.000    0.000    0.000 Image.py:1951(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:1956(ImageTransformHandler)
        1    0.002    0.002    0.006    0.006 Image.py:27(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:34(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:37(_imaging_not_installed)
        1    0.000    0.000    0.000    0.000 Image.py:440(_E)
        1    0.000    0.000    0.000    0.000 Image.py:475(Image)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:113(MaxFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:127(ModeFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:145(GaussianBlur)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:159(UnsharpMask)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:178(BLUR)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:18(<module>)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:189(CONTOUR)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:198(DETAIL)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:207(EDGE_ENHANCE)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:21(Filter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:216(EDGE_ENHANCE_MORE)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:225(EMBOSS)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:234(FIND_EDGES)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:243(SMOOTH)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:25(Kernel)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:252(SMOOTH_MORE)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:263(SHARPEN)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:57(BuiltinFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:62(RankFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:85(MedianFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:99(MinFilter)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:22(ModeDescriptor)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
        1    0.000    0.000    0.000    0.000 StringIO.py:42(StringIO)
        1    0.000    0.000    0.000    0.000 Tkconstants.py:4(<module>)
        1    0.000    0.000    0.000    0.000 Tkinter.py:126(Event)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1473(CallWrapper)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1493(XView)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1514(YView)
