File Name	Left Intercept	Right Intercept
images\mono_0000000000.png	4.14548560262	1462.66078809
images\mono_0000000001.png	nan	nan
images\mono_0000000002.png	nan	nan
images\mono_0000000003.png	nan	1650.11385817
images\mono_0000000004.png	nan	1566.72853121
images\mono_0000000005.png	-12.9949497596	1618.58266767
images\mono_0000000006.png	-2.44854120483	1589.66666667
images\mono_0000000007.png	-41.8857142857	1543.43478261
images\mono_0000000008.png	18.1415136406	nan
images\mono_0000000009.png	3.46875469242	1573.6872333
images\mono_0000000010.png	2.32731928147	1706.48631841
images\mono_0000000011.png	5.50042280803	1720.30469072
images\mono_0000000012.png	-21.2777970603	1715.36403888
images\mono_0000000013.png	-22.6794409059	1757.61447602
images\mono_0000000014.png	355.331081081	1802.29541786
images\mono_0000000015.png	3.59095185046	1792.34227758
images\mono_0000000016.png	nan	1817.57974386
images\mono_0000000017.png	-207.760076531	1857.34272075
images\mono_0000000018.png	-9.00988732746	1871.97975056
images\mono_0000000019.png	-2.61794757805	1802.43244566
images\mono_0000000020.png	nan	1972.0
images\mono_0000000021.png	nan	nan
images\mono_0000000022.png	nan	nan
images\mono_0000000023.png	nan	nan
images\mono_0000000024.png	86.0	2100.5
images\mono_0000000025.png	nan	nan
images\mono_0000000026.png	-33.6277217795	nan
images\mono_0000000027.png	64.7115112994	nan
images\mono_0000000028.png	38.6584893535	nan
images\mono_0000000029.png	nan	nan
images\mono_0000000030.png	42.087090386	nan
images\mono_0000000031.png	38.855901573	nan
images\mono_0000000032.png	18.4478968792	nan
images\mono_0000000033.png	19.094442961	nan
images\mono_0000000034.png	-31.1038942532	nan
images\mono_0000000035.png	1.58987762928	nan
images\mono_0000000036.png	5.68401927148	nan
images\mono_0000000037.png	-10.0519664877	1420.94098877
images\mono_0000000038.png	-41.815923459	1146.33333333
images\mono_0000000039.png	-4.25313578428	1129.33333333
images\mono_0000000040.png	-34.931549307	nan
images\mono_0000000041.png	-59.3970674487	nan
images\mono_0000000042.png	-11.0	1578.01282051
images\mono_0000000043.png	-4.79282641914	nan
images\mono_0000000044.png	-38.3233915078	nan
images\mono_0000000045.png	-47.9038392315	nan
images\mono_0000000046.png	-54.1015715771	nan
images\mono_0000000047.png	-72.9534095874	nan
images\mono_0000000048.png	-139.931102068	nan
images\mono_0000000049.png	1.0	nan
images\mono_0000000050.png	-14.3333333333	nan
images\mono_0000000051.png	-34.5	nan
images\mono_0000000052.png	-12.2598366996	nan
images\mono_0000000053.png	-111.562949246	1918.15740741
images\mono_0000000054.png	-125.241879963	1831.27586207
images\mono_0000000055.png	-14.4635679099	1837.58904182
images\mono_0000000056.png	251.4	1832.7012987
images\mono_0000000057.png	-116.357898286	1832.54033517
images\mono_0000000058.png	-69.0065562133	1821.62925397
images\mono_0000000059.png	-105.022866618	1791.53930827
images\mono_0000000060.png	53.25	1772.9603967
images\mono_0000000061.png	-99.5505608874	1751.60930716
images\mono_0000000062.png	-90.2249199868	1733.2331145
images\mono_0000000063.png	-50.53324246	1465.27284434
images\mono_0000000064.png	-117.29	1541.42194677
images\mono_0000000065.png	-94.9002303845	1527.75020073
images\mono_0000000066.png	-123.204389927	1489.67911175
images\mono_0000000067.png	17.6236240637	1511.02097794
images\mono_0000000068.png	-116.654794866	1512.51911825
images\mono_0000000069.png	-103.369914638	1543.26549843
images\mono_0000000070.png	-97.1575589385	1519.8704315
images\mono_0000000071.png	-100.095273473	1530.8955416
images\mono_0000000072.png	-86.3116076563	1459.85973652
images\mono_0000000073.png	-106.955980968	1475.80315026
